address,tokens
Figment Networks,1.2062390100971361e+25
Deutsche Telekom,1.0613219899638534e+25
Manta Labs,1.0453314620244411e+25
a16z,1.0449578320462395e+25
,9.42242203311494e+24
Anchorage Digital,8.601989897787781e+24
Binance-Staking-Group,8.053622224803403e+24
,7.439813783573308e+24
Polychain,6.665392895861748e+24
impactMarket,6.400639942518385e+24
Bison Trails,6.310125887442207e+24
ChainLayer,4.950319340721407e+24
wotrust,4.928261022972449e+24
Blockdaemon,4.3153774020389577e+24
Ledger by Figment,4.1405047380731945e+24
DSRV,4.067863535994539e+24
Chorus One,4.0602040568648206e+24
Validator.Capital,3.8736475525778726e+24
missionquorum-group,3.798463592218741e+24
ZanshinDojo.org,3.7613375216068166e+24
deDataLabs,3.719247309953557e+24
AG,3.572132460259359e+24
Staking Fund,3.5303759260162306e+24
HappyCelo,3.5189940372234017e+24
Usopp | usopp.club,3.5108625612851225e+24
Stake DAO,3.472758072243534e+24
cLabs,3.4298412496553417e+24
Easy2Stake Group,3.356623258781137e+24
celvaly,3.3169541032751494e+24
chainvibes,3.3136502252652414e+24
Cypher Core,3.300614360157085e+24
Perfect Stake,3.2510661703496345e+24
TDlabs,3.244559588948517e+24
SeedBed,3.236542926432733e+24
keyko.io,3.00252372361108e+24
StakeService.com,2.809596660691528e+24
Tessellated Geometry Alliance,2.777324370338041e+24
moonli.me,2.7493512444150123e+24
The Celo Group,2.665633778320176e+24
Ryabina,2.662510363259808e+24
Censusworks,2.659082229408765e+24
Projecttent,2.657962947889207e+24
Stakecito,2.648107847884855e+24
Stakely.io,2.570368758104575e+24
ZKValidator,2.5635628424003225e+24
VladiatorLabs.io,2.554709764104538e+24
Simply Staking,2.5308928278310865e+24
PlusV,2.4807654342942633e+24
Virtual Hive,2.4739978412890983e+24
Making.cash,2.47297611589396e+24
gunray,2.443568615940219e+24
AnyblockAnalyticsGroup,2.4381715709620626e+24
Kytzu Group,2.4343159322303953e+24
huglester,2.430961555657777e+24
swiftstaking,2.4014658173321802e+24
🏢 Ministry Of Blocks 🏢,2.3953792504008662e+24
atweb3,2.383951691036078e+24
nonce,2.3711508461356232e+24
Bi23 Labs,2.3337379571580544e+24
Goods & Services,2.3006195481388826e+24
TPT,2.2969117752524236e+24
syncnode_group,2.264337328114451e+24
Masternode24.de,2.255191242050734e+24
HashKey Cloud,2.1703532759751303e+24
MoonletWallet,1.7451732661129747e+24
Google Cloud Web3 Group,1.661675967607727e+24
TeroLabs,1.640226935424079e+24
Bitcandy 🍬,1.3519574030176544e+24
AUDIT.one,1.313738454903739e+24
Eat Pray Validate 🍴🙏🖥,1.3130841323230915e+24
01node,1.125380590514699e+24
Nodito Labs,4.416694816063593e+23
Tango,3.894405529237348e+23
CoinList,1.090342603060099e+23
Celo.Works,5.989144313176105e+22
bitManna,4.04e+22
Chainflow,2.115765985767849e+22
GrassrootsEconomics,2.0009e+22
Gingerbread,2.000002e+22
Celo Japan by Fore-,2.0000007810583e+22
Telefonica,2.00000023565405e+22
stake.fish 🐠,1e+22
,3.675057721490572e+20
,7251834942689219.0
,1010374548676417.0
+ + =,0.0
dynamic,0.0
