address,tokens,ip_address
Figment,283788201861869677,51.222.248.87
Blockdaemon,250181389521513717,208.91.107.169
Mysten-2,241611537174383735,136.244.64.220
P2P.ORG,225225938559719526,212.117.185.244
Luganodes,209828562818184921,93.115.25.174
Triton One,200970960532903894,202.8.8.8
Anchorage Digital-2,187682286372443458,136.243.55.238
Chorus One,181703136210976028,46.165.244.19
TrustedPoint,179411405421054135,45.250.253.74
Mysten-1,160094457864825422,45.63.91.154
ContributionDAO,156983062326662646,141.95.99.142
Blockscope.net,155412111749842126,15.235.82.231
StakingCabin,155163232163764692,54.64.235.237
Kiln,148657021711484779,57.128.73.31
Bware Labs,147086151153718130,141.95.34.55
mrgn,144496949495586236,141.98.216.164
Everstake,143385796210993076,45.250.254.103
Overclock,142043604844926660,45.250.253.99
Chainode Tech,142041829071105010,103.50.32.114
Shinlabs,141487468010169143,43.130.123.214
Artifact,138390042231962576,206.125.33.6
Dankuzone_w_DAIC,138377443434819769,37.252.184.226
Galaxy Digital,138347482721763668,52.215.11.218
Nelrann,138117878124825705,185.209.178.171
Ahoy Validator,137647890346762705,103.50.32.109
DSRV,135879802224804325,141.95.171.152
HashedPotatoes,126646127354151215,69.67.149.35
Chainbase,118245763202566772,43.154.164.179
BartestneT,118188155889000416,45.250.253.76
Nodes.Guru,118181482211192522,135.181.18.112
P-OPS Team,118180593683458564,185.8.104.19
TPT,118059203508116903,18.246.8.19
Aftermath,114832901993306740,57.128.47.71
Persimmon,113877317782669772,35.74.25.246
Durian,113650451703494699,13.229.58.139
Citadel.one,108113801577498383,141.94.137.186
Scale3Labs,107846881367462415,45.250.254.151
Cogent Crypto,94704707489916773,45.250.254.99
Coinbase Cloud,91743714463610901,3.249.94.146
BlockVision,65665180094888123,34.87.103.163
Staking Facilities,65308204752972846,5.199.170.77
ORBR,53209743092979513,78.141.245.48
OKXEarn,51365434745848483,43.207.255.138
stakefish,48433259881509292,147.75.199.7
Juicy Stake,48058571499748358,45.250.253.84
proofgroup,47046194485363992,207.53.234.207
KiligLab,45958790198999540,8.213.144.236
Cypher Capital,44231415367306962,45.250.253.95
Allnodes,44026625885675359,169.155.45.15
BiXinKelePool,42429063620849492,47.89.250.58
Staking Defense League,41838151734306180,188.214.129.144
n1stake,39895281802500441,173.231.17.194
StakeWithUs,38485132870305254,178.18.252.36
Ankr,37389488946575390,107.6.94.244
Staked,37248504001046637,54.195.211.175
Brightlystake,37226828154278579,139.84.155.177
BlockEden.xyz,37147987974033305,34.143.153.196
Cosmostation,36742528075268603,172.255.251.44
Peeranha,36229329480110037,45.250.253.92
SyncNode,36107551680492564,103.50.32.122
01node,36050254725124112,195.14.6.175
Stardust Staking,35973917273998997,93.115.25.67
ONBUFF,35952940207057951,52.231.106.71
Swiss Staking,35952688148286802,82.220.39.51
B-Harvest,35941727937088376,198.13.34.226
KingSuper,35926545082114353,139.84.139.8
Imperator.co,35926147401840616,57.128.97.53
SynergyNodes,35888179285630298,194.48.168.246
Restake,35884135957015760,103.219.171.17
Astro-Stakers,35882569880120923,141.95.99.201
Neuler,35881266132224355,103.219.171.15
ANodes,35868927158487327,47.242.178.190
[NODERS]TEAM x Criterion VC,35859815597590981,149.28.137.164
Chainflow,32862420180833654,185.8.104.18
Omnistake,32819601505217934,44.230.61.141
Anchorage Digital-1,30916688120347018,198.244.253.76
ZKValidator,30117092029710232,37.27.62.100
Stakely,29862558836078710,15.235.53.140
XPRV,28620104515506610,54.38.136.66
InfStones,28485424036252834,150.136.151.212
Parasol,28232577701492004,43.130.125.249
gumi,28222384617481459,13.230.215.202
Laine,28021355583123439,103.50.32.184
Moonlet,27821485605622918,103.219.171.14
HashKey Cloud,27800047494943176,52.77.43.187
QuantNode,27792655656284413,103.50.32.129
SpartanLabs,27783921169263831,5.199.170.96
Stakin,27765953378473948,93.115.25.75
BLRD,27763990852087295,35.77.209.41
Qredo,27763423434550398,65.108.111.57
flipside,27762442681651933,198.178.224.97
NodeReal,27760008757727420,54.152.222.161
Staketab,27752831378818682,103.50.32.107
TDMTech,27752203659949582,109.123.108.59
Node Guardians,27719363414633395,51.222.152.21
Forbole,27715180657013481,5.10.24.66
ComingChat,27715036730022242,45.32.11.180
Nodeinfra,27688320713278953,34.80.99.216
A41,27684523059640320,211.219.19.65
Gaucho,27683794324841708,45.250.253.97
H2O Nodes,27678091204932563,185.125.95.23
MoveFuns DAO,27673999492982689,135.181.228.230
RepublicCrypto,27554228753098833,91.210.226.206
SenseiNode,27487610153214145,69.67.148.48
MIDL.dev,26680021867447883,62.210.140.115
Latitude.sh,26649237357759164,103.219.168.185
