address,tokens
Polychain,38858949267000
Go,33712475510869
Finoa Consensus Services,33258204006097
bitcoinsuisse.com,32978372277020
Chorus One,30844306782785
Unit 410,25306661986389
P2P.ORG,22308763624694
Coinbase Cloud,21745923679800
CUCK.,18421554836330
Little Dipper,12851160167416
Figment,12827167447250
P-OPS Team,11724795054650
Twinstake,10454340521535
Cosmostation,10034628327375
Keplr (formerly known as Blockapsis),8693510800985
Imperator.co,8474377370954
Nodes.Guru,7761004996223
Binary Builders,7644799406948
polkachu.com,6845341562981
Upnode | 0% Fee,6447511764264
Qubelabs,6330405183528
Staking Facilities,6047387565165
XPRV,5870690323951
Hex Technologies,5857704287986
Baza,5731798318429
ZKValidator,5093214971550
senggigi,5000934202565
Nocturnal Labs,4802528132673
GalaxyDigital,4550873453668
AI,3662547209621
StakeWithUs,3613670098511
Validatus,3414109301847
MZONDER,3097304687517
Stakecito,3032548499598
BlackBlocks,2938604174480
01node,2776219851195
Staked,2367048238225
BinanceNode,2120553161437
W3.Hitchhiker,1835686220077
 kjnodes.com 🦄,1647820458655
alphab.ai,1632946523216
 Lavender.Five Nodes 🐝,1631201098261
LatamNodes,1551158704576
Allnodes,1544385349325
Node Guardians,1421198014200
NodeStake,1394060632478
NakoTurk,1367972173532
Enigma,1292907806287
Easy 2 Stake,1232224856252
B-Harvest,1162787629708
Forbole,1154106086482
Brightlystake,1104148617413
Stakin,1049788247754
"Frens (🤝,🤝)",980679811547
Everstake,949749002009
Stakely.io,918743196784
DSRV,903874324414
Larry Engineer,847842008159
kooltek68,836324860883
FreshSTAKING,824192414701
Kiln,816603902549
StakingCabin,766868855521
ContributionDAO,757472923734
Swiss Staking,753318281841
BwareLabs,705216465021
Lemniscap,648855603744
KEK,625924485256
Gunter,613881827388
Cumulo,605924936749
Staking4All,600579468707
BitNordic,589875330980
moonli.me,571755811908
Suntzu,570753451788
0xFury,567201629245
Validatrium.com,566472296809
ChainodeTech,561917038871
Maple Nodes,555879049410
LowFeeValidation,554823848774
AM Solutions 🪐,551939579133
KingSuper,550873660212
Moonlet,547521927157
Meria,547289147090
✅ CryptoCrew Validators,546846404214
[NODERS]TEAM,541022628540
Conqueror,540840128555
wavefive,530020625987
Stake🦑Squid,520770744380
Staker Space,494739835429
spidey,484866756791
strangelove,476913820160
Active Nodes,475494422571
counterpoint,472917677758
Neoprom,462710877021
quantumcore,460336817603
Neuler,458799228791
 Blockscope.net,454400296597
4sv,452340929225
PartnerStaking,442214817322
StakeLab.zone,441025663622
Blockdaemon,74850401252
Crosnest,14547998121
Smart Stake 📈📊 | 5% max,14071400000
Notional,8689804390
nysa.network,5137698856
 AutoStake 🛡️ Slash Protected,3794072770
Witval,1502397275
Anonstake,993344254
F5 Nodes,907000000
BloClick,905268670
[Please redelegate],645262643
INACTIVE,635531278
KubikStaking,381600000
AVIAONE 🟢,312151546
INACTIVE-DO NOT DELEGATE,250000000
Artifact,245600000
ECO Stake 🌱,146554151
StakePool,146540187
InfStones,146000000
POSTHUMAN∞DVS,114027615
BlockHunters 🎯,100000000
GPvalidator,70437169
T DATA,62200000
TiaRocketKC,50840607
vortexray,50000000
Cosmos Spaces,48292100
Bro_n_Bro,42000000
SG-1,41600000
Stakeflow | 5% Fee until 2024,27852875
validao,26000000
Stake.Works | Celestia,25000000
node101,22202360
0base.vc,21636129
ITALY - Lowest Commission,17000000
AndromedaPool,16600000
jabbey,12334319
cryptonodes.pro,12000000
Tessellated,11600000
Architect Nodes,9000000
Huginn,6300000
Ubik Capital,6000000
MH Ventures,6000000
NacionCrypto - Parceros,5752400
please Redelegate,5010000
openstake.net,5000000
Citizen Web3,4239000
Kleomedes,3000010
EU,3000000
STAKEME,3000000
  Oni ⛩️,3000000
Inter Blockchain Services,2550000
Stake&Relax 🦥,2208640
NodeX Emperor ⚡ Celestia,2105456
,2000000
𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,2000000
0% EU Fast Validator,1500000
Sr20de,1100000
bg-0d,1000000
SquallNetwork,1000000
Farrari_TestNode,1000000
Node & Validator,1000000
Chainflow,1000000
Avril14th,1000000
PathrockNetwork,1000000
OmniFlix Network,1000000
na,1000000
Equinox,1000000
MAHOF,1000000
IcyCRO 🧊,1000000
Kaizoku Labs,1000000
RockX,1000000
PowerStaking,1000000
AviaStake,1000000
Brick,1000000
Colossus,1000000
NachoNode,1000000
Synergy Nodes,1000000
Informal Systems,1000000
Wave,1000000
silent,1000000
WexclaW,1000000
Madrona,1000000
AiC DAO,1000000
iCosmosDAO,200000
securesecrets,10000
Multiplex,1000
