address,tokens
Luganodes,360132240
Binance Node,360082106
Twinstake,325776108
Web3Nodes Validator 🌎 0% fee,207527312
Synclub,196608118
Anonymous 93,182664592
Coinbase Cloud,171915373
Allnodes ⚡️ 0% fee,168705446
Vault Staking,129762012
Anonymous 94,126371908
Figment,110375186
Stakin,99855331
Kiln x Ownest 🔸 Pro Staking 🔸,71939184
Republic Crypto / Source,66417263
Blockdaemon,61303397
Anonymous 91,58471176
Everstake 0% fee,53937278
Staked,52549057
SelfLiquidity,51664093
Matic Fans,50631123
Upbit Staking,46720007
Staking4all - 0% fee,44209329
Girnaar Nodes,35877998
The Abyss (0% commission),27311964
Infosys,20586393
Anonymous 92,20130159
bountyblok 0% fee,19733087
Supermoon,18898380
Witval,18382959
Smart Stake,17535535
HashKey Cloud,15719201
Prometheus Pool,15639996
Worldpay from FIS,14819602
StakePool,14268875
Bware Labs,13863385
kytzu,12860182
Abyss Finance 🔥 0% fee,12767967
Matrix Stake,12763733
Shard Labs,12510241
InfStones,12293211
DSRV,12042520
Newroad Network,11104895
🐠 stake.fish,10114091
Stake Capital,10000564
Blue Ocean,9041369
Meria,8802444
Vader73 - 0% commission for life,6608332
Fahrenheit ❄️ 0%,6587782
Sakura Foundation,6583312
PolygonGo,6045685
Chorus One,5651978
Making.cash | Long term fee 0%,5533197
Perfect Stake 🥩,5507230
SolidStake,5160445
algo | stake,5017687
Deutsche Telekom,4765174
Valis Labs,4761674
ANON LowFee,4291024
Nobi,4056721
Chainflow,3315440
EMC2 Node,3011463
Stake.Works,2691809
WolfEdge Capital,2647115
Rasputin,2509768
FreshSTAKING,2367637
Proton Gaming,2294445
VC Capital,2106845
Data Nexus,2087418
CheckBit 0% fee,1991670
Deepheat,1640894
StakeBaby,1599284
Streamr,1595372
Coinstash,1486449
MCLB & fBOMB,1392784
AnkrValidator,1334896
PathrockNetwork,1311094
DeFiMatic,1260250
P2P.org,1222645
Tessellated,1219071
Azuki Validator,1203386
BCW Technologies,1149137
Atlas Staking,1044663
StakeCraft,1043028
BLRD,1027990
Wetez,901917
Re-Initializing,868810
Blocks United,833376
Cryptonomicon,601936
MyCointainer.com,537771
Mind Heart Soul,457860
Northstake,413767
Torus Validator,413139
Masternode24.de,405443
stake.new,209822
Anonymous 112,136808
Blockops,78205
🍒 RYABINA 🍒,32346
NEOPIN,30001
Validatrium,27220
Blockfly,20001
Poly Finance,20000
Simply Staking,10901
Google Cloud,10155
Finoa Consensus Services,10005
Mantra DAO,1
