address,tokens
Figment,279833701035994028
Blockdaemon,243788289479986695
Mysten-2,237268590061981070
P2P.ORG,229262365103275750
Luganodes,211261061445377016
Triton One,200261756880663826
Chorus One,190086579408229821
Anchorage Digital-2,186760384247219327
Mysten-1,179376151249211175
TrustedPoint,178398915755303399
ContributionDAO,160137607174448074
Blockscope.net,154568838108618999
StakingCabin,154332885404155122
Kiln,148387956258988812
Bware Labs,146403973724757697
mrgn,143441129607514556
Everstake,142660350012928450
Overclock,141288639598652925
Chainode Tech,141233654514216175
Shinlabs,140300472267174889
Dankuzone_w_DAIC,137626150039043397
Galaxy Digital,137591046242043706
Artifact,137540084633922544
Nelrann,137401825623312423
Ahoy Validator,136940498163178017
DSRV,135195967643704360
HashedPotatoes,125586785932936767
Chainbase,117614464806136580
Nodes.Guru,117566418467212999
BartestneT,117552413995025920
P-OPS Team,117542452765838007
TPT,117541741065976399
Durian,113043353077788882
Persimmon,113031279260722297
Citadel.one,107525542863607137
Scale3Labs,107292033468967749
Aftermath,107123965886518194
Cogent Crypto,103145547948121025
Coinbase Cloud,102680115877211266
BlockVision,65441686400441911
Staking Facilities,65310681597759785
proofgroup,55919375970654954
stakefish,53820030301546113
Ankr,52134606436681602
ORBR,50588343855433216
Juicy Stake,47777452212062061
KiligLab,45735445387343428
Cypher Capital,44020090064457918
Staked,43642506044629078
BiXinKelePool,42400762804483594
Allnodes,41895012084627975
Staking Defense League,41792459062974999
StakeWithUs,40783977646904180
OKXEarn,40665865480857035
n1stake,39714175016934183
Brightlystake,37022426853359197
BlockEden.xyz,36949122857476863
Cosmostation,36480320578278350
Peeranha,36015447764482830
SyncNode,35969537459293584
Stardust Staking,35859854205719179
01node,35857536012635951
Swiss Staking,35839094738571875
ANodes,35814668704514718
ONBUFF,35762747421655882
B-Harvest,35752714192939873
KingSuper,35737078637049534
Restake,35725224730498387
Imperator.co,35721030295470263
SynergyNodes,35715887911784457
Neuler,35709733358878759
Astro-Stakers,35704594724898917
[NODERS]TEAM x Criterion VC,35692900093955913
Chainflow,32688646877611580
Omnistake,32657504034413869
Stakely,30909692763016059
Anchorage Digital-1,30832209289555822
XPRV,28469100895253001
Parasol,28102412370780058
gumi,28073894066835920
Laine,27888379330894167
InfStones,27884948159850711
Forbole,27679801777787850
Moonlet,27663702926511206
QuantNode,27639302064478117
SpartanLabs,27638061293000242
Stakin,27632983678129552
flipside,27626144181992120
HashQuark,27625314386145536
BLRD,27619351080996084
NodeReal,27612436849734219
Staketab,27605284466516953
Qredo,27604320243608558
TDMTech,27603900151454634
ComingChat,27578844552372066
A41,27567227436110136
Nodeinfra,27551920985045613
Gaucho,27550917349060760
Node Guardians,27550584763236927
H2O Nodes,27544885211584390
MoveFuns DAO,27538466326665627
RepublicCrypto,27423827130112252
SenseiNode,27343805732000705
MIDL.dev,26553621076045766
Latitude.sh,26522527662021132
