address,tokens
injvalcons123tk3uwy78hrulhe8h5wt8740fgxem5jdax0p3,4585046
injvalcons1893nm5rlsl3pdcx26q0qhcskughcn2el3w335z,3023913
injvalcons17wdljvtvqlj0ylhrr9glwgrc83vdp8q3q5pvas,2782544
injvalcons1m5kf3ze83efxsuxajltm5a0w4gh7h42awccxtt,2578117
injvalcons1x0knjmysfhvwngwz5slmxlq57h0akm52r8ef7t,2285693
injvalcons175ctmkculqfkwzn0du09w3r56ny38p04w8fen0,2016934
injvalcons1d3tqsnsulge3v2xgavw6d7r9jgj902t4mv9u5l,1671929
injvalcons1gau93e4l0cm2mdsx953y5zcxk76wtsnwsmswhz,1659609
injvalcons1wlfl79dd3phfxp5vp867t3jr2d63rga9a70ar4,1536115
injvalcons1688g0wlgndehf92pd6xyfw04353h94w3cca4p3,1177018
injvalcons1jdeeykx9vf5s8wjygy5vld6rn23342flka3rgj,1159486
injvalcons1a9efq9vresqrcnpc3mewda2hp2ls6km4qsyzm8,1120184
injvalcons105keds2xx2rpxda2vtqw7n3u5ztvu9n9z9duxt,1104826
injvalcons1rq6w3ghau3jynx0w6k75hxd54x3zcs63r0d6zm,1011452
injvalcons1kgl0p35dpflx08enft55zqhl9x6gwgp3pxx4tc,1004449
injvalcons1x7elnerzjel32r6mlx985d2lx5cmtrgj62fu7y,1004058
injvalcons1vzrkqls72mmwu7f54whktq6vjttpsyzvfu0l8l,842802
injvalcons1nh7v9c6ygv7t7td9x058rm0hvh3gld6weyclq9,828670
injvalcons1qveaytw2xqj580x37ks5gnxgqwydexaxjxavvs,823731
injvalcons1m002pepun6crws3dpcnu8lldlp5ja8yhcycag7,764905
injvalcons1mrdfewvpvfn4a80t8z8wzlpkp4cz6kukepxuxc,749416
injvalcons1wk7zq7yplyulwyk88ux76h42kq5lrxev74swkd,709755
injvalcons1w7ql594dc4lpp8mrh50znu20n5up0c22v79wz8,690812
injvalcons1yhgm6mh5mjytxzj8zzpzs8s9j5fsxcrwvt9gjg,684555
injvalcons1xldh2zm5qf439ux5jceljkyp4rhc4erucgn90q,664675
injvalcons1usgjwlwd3hhj8m2megl3lmqknld3pmmm790gw0,619918
injvalcons1mpt6fw5hg565m87pm7g6stxms7382caxcu5um8,602197
injvalcons1ajt4ahdfyd65c6axq3xuvpqmxht6myk0xrqard,558083
injvalcons1l64y9vxrtqk0n6lyh4fqs2usvdkghua9drdha0,542038
injvalcons1ycsqvhadmyw9up40yk3m07ryfqa6rsaedgfde5,536186
injvalcons1zl4hkzrnenvrafm6vtp5l7z2jyx9708q48gl4l,533062
injvalcons1psa697zujyq5djsnw9schu2cce44ggf5ptu3vu,513164
injvalcons1xl88rtvv6nwqrkre3cgr5uyhskghpqtfy3aaxf,484075
injvalcons1s3suvfquuc8arhsxx3th7qfqq57s7ft4x2z4r2,451994
injvalcons1kmxsj4ak8kmnazkqu5wdphjn4aq2c37hkz63u6,445939
injvalcons1q0s2z2rmy43fkdkk4g579c0secqpzstz7ujpmn,440017
injvalcons1cp7u6w66h6zh8w4xzmua6r3lek8vran3cmnwcc,401319
injvalcons1qjjrwp3vgz0628kf3fxavjfef0gchkkh76f804,391565
injvalcons1s0ehetrj5swz0scqtd3r7r2dawwwtgswrxygy7,325940
injvalcons1lzt3tzhath5argv9yxfsfcsklc8gz2jx0kvluk,321191
injvalcons1jsj5jdp99ny02h0cl09dssc7429w7eja6ve35c,314206
injvalcons1ylv842shhp402hr7dmz0kcmexll088aj6rdcyg,311893
injvalcons1hwmt06edw48v99tu54s4m4dt09q4kzc66ulnmp,305859
injvalcons10f4fmmna3ua64qljcwsp08t5a52g0yevrkppml,302249
injvalcons1r7kysfjcqkk4l4p2qvujspsque2jzhmk2kpe4g,300016
injvalcons1wuy03c925yr93zmthf9f0spla8hxks4w8yctr4,278184
injvalcons10h235hdqvl56jhac9cpdtfq62xkarm6xerkp9u,273726
injvalcons1zsd39h38vysfgzzhpedakrr33n2574yw9eyjve,257517
injvalcons1udfutjylkcxja07z7gu0rnq3vu7fsrj95khtjf,256891
injvalcons1uejre3lrwhlc3842t8mlewflfh34gq7mfv0m5p,243138
injvalcons1rqpvgd73tel9fq3mmq4lt9zf7yj9up3lq8gzyf,239669
injvalcons176jdgr4rdngueud25nhsgdcy688z6gfnq2hawv,204689
injvalcons18dq3ucszzyfv2jjxgtr7p6cect6wq80acx4xva,201355
injvalcons1ewq8dyw9pgaj3k4mh046k9p69umv03hrrdlh58,200823
injvalcons1j2ner0vsvch7a0t27r6uh4w44yt80c803dtx3e,198514
injvalcons19u74jddypfwvug04y0hzs54507cdnegrqlqyee,188903
injvalcons1598m7akaux9qz63k2akhaxzpfdu0n6cr49agyw,182731
injvalcons1wgalsmptyz6v7mljaxd7vpcl3u5mget5wvqkeg,145985
injvalcons1rq3jrrc4xxagcjj9k5as3jymlr3xakvrz88hye,131960
injvalcons142jknlfh5v34aknskngqs0pfjxqtsqczujvq9w,129333
