address,votes
Figment Networks,13413870089211716185358336
Bison Trails,12547099521148720498343936
a16z,10793115492458484419526656
Anchorage Digital,10462236498722757481070592
Deutsche Telekom,10420481067276096950501376
Manta Labs,10349931414712932294983680
Binance-Staking-Group,8067346457937046178627584
Polychain,6496166925470206441553920
impactMarket,6307267669675776866779136
wotrust,5999342940071734278094848
ChainLayer,5080440347539024772071424
missionquorum-group,4625400055554625308196864
Blockdaemon,4487607185265921827536896
DSRV,4234579837863974708183040
Chorus One,4161601399400453862588416
Validator.Capital,4044810090314135121166336
Ledger by Figment,4041327639337552085778432
,3876492804195055367618560
ZanshinDojo.org,3770812894227822804992000
deDataLabs,3686791674577133070450688
Usopp | usopp.club,3682225522188658772279296
AG,3543736477288894033821696
Easy2Stake Group,3531960154299520293797888
chainvibes,3501379196871048171618304
Staking Fund,3500947768448462803173376
celvaly,3490699047010574482276352
Cypher Core,3473353196312834386952192
Stake DAO,3439573417982047601819648
Perfect Stake,3424147560904176303079424
SeedBed,3399773435814328808767488
HappyCelo,3315869169957389291487232
TDlabs,3245951812079742842044416
keyko.io,3144072979388645345591296
Censusworks,2988750614787976467578880
The Celo Group,2864577527077230037958656
StakeService.com,2801753486428360130166784
Tessellated Geometry Alliance,2755211958432011263148032
ZKValidator,2742068747808648732868608
moonli.me,2739595569087893477523456
Ryabina,2729052399951923510247424
PlusV,2669455127502403609296896
Projecttent,2653552866529283999268864
Making.cash,2652402181530027470880768
Stakecito,2640612955440595771326464
Bi23 Labs,2614699698191136093896704
Kytzu Group,2612300022382883806117888
huglester,2610549547208580643422208
swiftstaking,2581167066915361406320640
Goods & Services,2576472416536961426128896
🏢 Ministry Of Blocks 🏢,2575369063163715574038528
atweb3,2563913986497449084059648
Simply Staking,2556573472827509766619136
nonce,2551215044537822994235392
Stakely.io,2546459358705424736976896
HashQuark,2540965119989216066928640
VladiatorLabs.io,2534678912062596568842240
TPT,2489172948217645724860416
Virtual Hive,2454814078163983357968384
syncnode_group,2443854530005147863482368
Masternode24.de,2436206579131306110615552
gunray,2431451271884165110300672
AnyblockAnalyticsGroup,2419010056731557095276544
Bitcandy 🍬,1934623681524065783250944
MoonletWallet,1930187437154030963392512
TeroLabs,1632708892654139084898304
Google Cloud Web3 Group,1529173718540030717198336
Eat Pray Validate 🍴🙏🖥,1371274991754882775515136
AUDIT.one,1313738454903739083915264
01node,1124712099999999963693056
Tango,499365901847245883441152
Nodito Labs,441669481606359273177088
CoinList,109148806608367841705984
Celo.Works,59940060285280190464000
Chainflow,21258589149600621264896
GrassrootsEconomics,20008999999999999737856
Gingerbread,20000019999999999868928
Celo Japan by Fore-,20000007810583000776704
stake.fish 🐠,10000000000000000000000
,402790971524560450000
,7251834942689219
,1010374548676417
dynamic,0
+ + =,0
