tokens,address
22567655563635,reynisfjara
21916463989877,Cosmostation
13619875940192,Electric
13493983025314,Chorus One
13330492485050,Figment
6939114061862,Inotel
4853839167740,Notional
4850818103587,Multiplex
4743833469256,Frog OSMO
4619490247121,SG-1
4587764849383,Imperator.co
4231199791369,"Frens (🤝,🤝)"
4180240030625,CryptoCrew Validators ✅
4123032268397,Sentinel dVPN
3963737009986,🐠stake.fish
3931457250983,01node
3846044343461,Citadel.one
3835434078877,BouBouNode
3811062041239,Zero Knowledge Validator (ZKV)
3717650880733,binary_holdings
3709698274867,PRYZM | Stake & Earn
3644981984092,Stakecito
3629448032646,Allnodes
3570039524534,Larry Engineer
3566840469149,wosmongton
3456617775086,Informal Systems
3345601231590,Chandra Station 
3234085210087,POSTHUMAN∞DVS
3202476583178,polkachu.com
3167103479565,DSRV
3044549889455, Lavender.Five Nodes 🐝
3037212824737,Peregrine
3024570783597,ShapeShift DAO
3002086084338,tree-frog
2936650414083,OmniFlix Network
2900386849449,Node Guardians
2824476215282,Parakeet
2712353035538,S16 Research Ventures
2682978381131,White Marlin Staking
2640317758471,0base.vc
2590830746494,Bro_n_Bro
2518011566920,Coinbase Cloud
2508255896994,Ledger by Figment
2494903469034,iqlusion
2462344586575,Forbole
2358495167802,B-Harvest
2346753291034,Provalidator
2306535696491,interchain.FM🥩
2243650820131,Cosmos Spaces ☮️💜⚛️
2229011980324,Stakewolle.com |100% Insurance
2212589285641,StakeLab
2192644515707,ECO Stake 🌱
2173186830244,Crypto Assassin
2148707162009,#decentralizehk - DHK dao
2125922367809,Nocturnal Labs
2065324640684,Crosnest
2007899628812,Smart Stake 📈📊
1973669418624,nonce community
1924577769082,jabbey
1831041910796,Golden Ratio Staking
1822108255913,Swiss Staking
1794621227547,Cosmology
1714756236998,Manythings
1706794792656,Stakely.io
1703810665194,WhisperNode 🤐
1654504021984,Hathor Node
1647193299566,Klub Staking
1638104799077,strangelove-ventures
1575167816332,Leonoor's Cryptoman
1532263301064,Ping
1521202872518,ChainLayer
1508147382602,KDF
1505233590426,binance staking
1420277464304,Silk Nodes
1405379808411, AutoStake 🛡️ Slash Protected
1390268781618,Interbloc
1387892873287,StakeWithUs
1385959519987,[ block pane ]
1371791907081,Atomic Nodes
1355795395090,Ethereal Ventures
1330901757817,Interop
1326131129135,Blockdaemon
1123612331087,nonce classic
1115803190735,The_Cybernetics
1096848730913,Chihuahua
1048147023514,Meria
1026819591556,commercio.network
970768211881,PRO Delegators
966831537885,DAO DAO
957919173877,blockscape
914496544861,danku_zone w/ DAIC
903034879374,Chill Validation
884026083622,Chainflow
882053753521,Witval
859790671641,[Beehive]🇰🇷
855549938776,Simply Staking
833353226252,Interstellar Lounge 🍸
814507537219,🇨🇭 Vortex.live 🟢
814389784840,"Stargaze.zone (✨,🔭)"
805572344471,SmartNodes
754443506474,KalpaTech
745471647548,Oni ⛩️
730199059884,a41
727316786473,Tessellated
699658267371,in3s.com
688995653479,NosNode🔮
672259392457,validator.network
659414442093,AUDIT.one
643641429058,Tedcrypto.io 🧸 | TedLotto
631094792013,FreshSTAKING
630858430792,SpectrumX
624463369791,Cypher Core
615587686950,Uncle Ed
593945867459,stake.systems | autocompound
590228483997,Gelotto 🛡 Slash Protected
541889177066,Zenscape
520257455487,syncnode
498712689495,Bored Ape Server
461702791345,CrowdControl
451426716885,Astroquirks | Profit Sharing 🤑 💰
447363030344,Merkan
405726347888,ushakov
396018980368,Active Nodes
392868338400,Levana 🐉 Powered by Cros Nest
380591169572,Kintsugi Nodes
376512474706,kooltek68
373852422432,GATA DAO
319948883621,defiantlabs
317292595831,ztake.org
297698166789,Trust Nodes
288907009081,Everstake
288364398475,Obi
286373963768,Quebec
275608654503,dimi 🦙
273354183675,Dora Factory
265505808282,Komikuri
256025362403,16psyche
255361673869,TaxiStake
252486682085,DACM
239126618739,coinhall.org
237981912945,Bi23 Labs
235527104217,Oldcat
232715425817,artifact
232440305529,Validatus
227391336625,AlphaNodes.OSMO
225632039573,Coverlet
225146191754,Secure Secrets
225050968508,StakeThat - autorestake
219049201706,Coinpayu
217251589469,DELIGHT
