address,tokens
cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,22395819662622
cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,17106391692898
cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,10006759601812
cosmosvaloper1v5y0tg0jllvxf5c3afml8s3awue0ymju89frut,9531517130562
cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,8910805659778
cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,8476657725143
cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,8334810311786
cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,7626468589020
cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,6621234393695
cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,6332444475699
cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,5669194748586
cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,5654668486419
cosmosvaloper1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgpgs6l7,4860525411637
cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,4783852506727
cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,4413411797821
cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,4212475384625
cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,4081918391528
cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,3606168500438
cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,3358197159427
cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,3273488117848
cosmosvaloper1gdg6qqe5a3u483unqlqsnullja23g0xvqkxtk0,3261515538626
cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,3100459345920
cosmosvaloper1vf44d85es37hwl9f4h9gv0e064m0lla60j9luj,2985088528956
cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,2741136427069
cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,2479590409848
cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2172827467465
cosmosvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xfytvz7,2103057383168
cosmosvaloper1ma02nlc7lchu7caufyrrqt4r6v2mpsj90y9wzd,2051048745465
cosmosvaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56fz4sdg3,1920385953100
cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,1795479437450
cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,1724573810936
cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,1628412237546
cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,1599682302135
cosmosvaloper1rpgtz9pskr5geavkjz02caqmeep7cwwpv73axj,1521517237545
cosmosvaloper1cc99d3xcukhedg4wcw53j7a9q68uza707vpfe7,1466882890789
cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,1412555982925
cosmosvaloper1jst8q8flpn94u9uvkpae8mrkk3a5pjhxx529z2,1361899329052
cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,1350587635242
cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,1346021150965
cosmosvaloper1kgddca7qj96z0qcxr2c45z73cfl0c75p7f3s2e,1273768923522
cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,1222121244838
cosmosvaloper1hmd535f69t3x262m6s9wc6jd0dmel2zevhyuhm,1194166107504
cosmosvaloper18sqvyf4ss84qree7gndph5chmm82fglsqfylwn,1179456129869
cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,1067406971769
cosmosvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqvwdul2,1054466615449
cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,977957189299
cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,950051307506
cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,932386349093
cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,928962498772
