address,proposals,tokens
0x0324df1e27c4129a58d73851ae0e9366064dc666a73e747051e203694a4cb257,658,2121570271825424
0x3eaf3ebc49555c705c34ec1ffe77404bdb7383b388476c36538b92b7b1b806c9,677,2121268617012868
0xc32f662cd9718f02d8a8e5628f8f642fa27cd9b5f457b406ed734901a4939e34,649,2120682699189318
0x9da88926fd4d773fd499fc41830a82fe9c9ff3508435e7a16b2d8f529e77cdda,696,2120483916561626
0x6d00d52f94579e51308ae83841b5133e3a7e93b51fcd8cf338d766e3f0331026,594,2009118927330971
0x8dd8b23892be142c2ec4b7e1427584c97403e570cde4e6d9a81d2b220c884af5,631,2003644463806381
0xd89481a2f4ff5598f8a6e83e67f21dba6a0df56a1bc35b9c67a2de6dce166b30,528,1781990478044535
0xc807d24a6ac70599cc9b72c649eb6b00c34a0e9c704447c44d75fade07213a26,562,1721827216744321
0x9bfd93ebaa1efd65515642942a607eeca53a0188c04c21ced646d2f0b9f551e8,487,1658374379824357
0x209154f6e735562ff13b963b91588039a162fa95f409c068f917f27b762dfff8,501,1648913155059192
0x4c7c21084620f9e55f50f292d1803e5fbcf55c6d850b24b5e64efef08d2aa428,482,1587882492830300
0xf05d2fe6618a3cb4258e94f2da24c1ee71ae4e7942b4f8b5836ad5267e59568f,481,1586940841454896
0x649127a4d1b26b4cf936f7b795917dbcb571c59c2926ae473fe4d9df3575790e,493,1567255400563396
0x8be2ba62bfd783e5fbff57a07acf2a9a95f4d234b3729fbfda9c63f3f42fb78f,445,1535825326825746
0x9a41af5c002f91dc29cb2843ab823e3d6cdaa6cc86e6331646a4f1328609a744,425,1529018665200940
0x3d654d35d558d6381fe6a0484d81c4fed128cd8adc1ca7a1482c297da80ee039,484,1525468697749549
0xef191e643c2ed2d103de4109a506e020f5dde818cbc1ffe5e4ee36328cd22e9b,466,1523356517196262
0xb4a4f1ef8b0702d85547dc444571a473f736e1205a86db36dad13815ad9bbbf6,481,1522725728930625
0x15d241369552ece871a16d865a4e9b96f5e6e6f8c7db5478e89af17845969c02,463,1520113299869353
0x189093e65faaea1d0c1c367b7c78b4d2ea569fc3d1e7d20b226eec0361b1a116,492,1520113252570694
0x550fe3956e44112599b8410404e0977e74cc5bcb59a11b0706da734cd0f9beb2,431,1519928371780054
0xa4a00989d8ecc6d116b2283503f58de94d7fc33fff9e28010868abeb70d7d051,476,1519896765263771
0x7425cde20dc18a8e5e169614c47c0e4435fd1b6c475efdefbdbbb73785d331e3,467,1518752851344808
0xb3254509d1cd652d6e1ca06fd37f3d20aaa42f7faeaf297577b85cf92d2f7462,473,1516710268430286
0x0a6eb54c274da96778a6702740a763f6aa7b02eef3d1efc2623d28289d185118,479,1516708055501351
0x81d41a31fb5d3f827d188511e6fca1ddbed6cfa0ffbd46fa6d84a7adfe59f356,460,1516625179528854
0x4cc22e5d2e84794c3c672b0b34145898ee971a4ff042eabae23627547f6dac80,496,1516252535262003
0x29f3f84adbd1eba85bbbec33814924fddcdc9f51921d9cade0dd3b3fdf9170cd,446,1516213160359296
0x52b0fd0daaf4f24ddf389768bf24be0a291aabbbdae4ec7b46bc7ed7df41cbe9,455,1516194321437209
0x30952a7b88b02028e7c6c7209722cc047acaef85d3d303f375d8ea89fc6ba0c6,479,1516180782212910
0x06be5d9afa759b48140a69c737e9b066270146c7065455d04c2c76842c3e23d4,507,1515962145634144
0xb43fe1ef756cae4fefea16dad049fb0760b7d8593ace12527e302520d934d0d7,503,1506754333438172
0x2784eb9f3b368be1db73256336014a01c02b1b06ab01df7387bb8945ca73045e,479,1506530769457743
0xc92d451e6b5c1bca83d002c3dad857cb8fafb1e49ef5ddadf25c0f40f9d5728c,466,1500729927217065
0xefaec1debc26828f8142a71a906ba180cae526b0688f304a28e57fb66f2b9a5c,484,1500724234977115
0xa286a9187c86b4a3cef60478e5c61bb45757b795a8e6577ebbf0fa990db574cc,464,1470951926197810
0x6c8a3474cb49202515d121fea0f3217d303e41f6bdc43e615f1cd90855118089,411,1447125316604334
0x1c6a051d9a5ec4cf4200bab21a794d3afe8259d625f6b78aa4d01ab4652327d5,449,1445903141276671
0x371dfdee9fbecaa358683936c5946aa28393067fa60e1e185c4250da461e15cf,458,1422350729356684
0x46b51b26710797faed701722bfc809386110c9720328f2b431e193cb5dc161f7,416,1422230755935265
0xfaed6de6eacfb745f602d61a1ad559b0dda7fb2723d7d168c50b94687247a8b0,431,1419077064199377
0x2ded75e99c6efbe143a9648a3e88ebf9d0cf249b2af44d510bdd0287e8adcc79,459,1417225731906821
0x947c6451ad9a8659cba4e60a6da41086eb66e73fc07936bd3b7044873b5e094d,454,1415161760244093
0xadbfddd3d10cad1eed59d2c0793df0bfd1d16255309c38b34b8351daaddecccc,337,1110023613782002
0xa7375edf245124aa2531c74dcd0cbfb4c7aea02dbea32c7fbf72784533730874,280,1004583378382774
0x70ac104168697addf1569c26ffc00958435d6bd87e2a61e49e0c6eb16d07a10b,354,1002298611355354
0x22dd12212d76bc5844b4a0605bf59fa56547f42a40fb42267e29adca5efecfc8,339,1001563928446853
0xb87476d8877cfc324a520cef4d0cd6e42e26ec3ce613a8127220e2e444561e16,216,768637850670607
0x5ae6127c854988607bb3375484e61ba10e2ce5e6ca9ff92a7b322149ddbbf552,240,724515513405158
0x981ac008818e55f59a9c3d15de4f073f7834779263c1359b89b064c470fbdc24,212,708297912545339
0xdc37463c5782469908d7ff43873390075980a8fa5b1c0770457c48f8891a5bff,246,695356656210404
0x9c721c79ee082aafcdd99b1a71a833accdc48dba1a9a1bc5b5f8cc47ff7d49c0,192,634764069695276
0x881f164c09b7c8032fde6f8ea0de2ab839becf391556b5650eb75a36a6f52c35,186,630466551951944
0x6fd3ee60a084952162d62ead1a09f4ccd611f17608789ae45eba4f54967a295e,182,539401934745851
0x2fd1e866773ea3670cbef6dc6e952ba6fa13130a69fabc98ad234bd834c3bcaf,139,504489491939390
0x06099edbe54f242bad50020dfd67646b1e46282999483e7064e70f02f7ea3c15,155,486434521720879
0x6fdb6516f550ceada7d1fb687b52e4d334c0805a856f17c85f1eb852cbe66ffb,143,465584047468467
0xed84b96729eeaca42cdd0b84c3df69f76c4378a0406595a958cf515cdb024b20,139,465539840389543
0x7ba7dd0aff5acdc056a2f1f7f1fb24bf1e7d3d6909c33d45f8c2333b13bd2f80,153,464779607098437
0x39b844cb561d2a04c800164465e2eb2c2ea520499d718c35492244346da07b5f,140,462327433806567
0xa651c7c52d64a2014379902bbc92439d196499bcc36d94ff0395aa45837c66db,150,458808930237595
0xda418307cff595ced2af5eb471ec11b1ad6a4907ef57d6e2eeb253bdd5bd9d0d,136,422915558725350
0xff3e9c10dd3781a1e0750a75ae9e5b04133cd7e8ca18b9936ffcf3b2a2538a49,110,408132705623320
0xfc90c3e74dfb562827ef85dea5669beeca7717faee0c3ba520c3ab08f9b53135,117,391191498530111
0x32ad233a939bfbafb8d9056c0ae2eba58828d8baf5582277578ced38477f0f14,123,389739911524945
0xfc307ecd61ac025f5ec1828d2114d11b474b4d8a1b0c228c38614dc96b940048,107,358665649067990
0xb225277ba076b6620447f7b10abb30911966eb66d25fb526b7f09c2227425a11,113,358665591773419
0xc29a231581f243ddcbf97de8b93c8aabb466dd6912ce5ba12579ff2f13cb8da5,109,358665436244126
0x2537e9d461d311dc6f1dee690f093b4e353f472abc2493c64275a3d5572532cc,103,339758601967125
0xddf23883328d39d8cbb4fad97f0e4bd45827ea999b66aa2a1cffa76615b9ef01,73,250927548978849
0x0eb87b07f24f6111b5ab41ef30700ad9da780454bdf257722a100e897076a67f,70,231993460206358
0xdf0996b6998ec080ea7931ccd87400fa74eb57f8129bb0f11996ae8bae12d565,70,229429020881234
0x401a881d9770f054a1b8cd6829f3d65a040bbe9b387ebcce50bddf0f853077d9,54,176948629191226
0xc41e4eded759ab4a31e999bbef6d14361fd94bea59db8310703b1668af98a23d,58,173897239843966
0xeb5d1dfba88204036132b2bf4f4600f20822738e01985401ba45e75c464d1965,48,169540002233801
0xed84f8724f703c17075fb528b5713424e794f79ac82273d8f747b3f26fdd9ecd,46,167183761070642
0x2fa9d01fb4a1c2fdac5f45419b98213604bc215817d4b394ab372e5d59d2753c,54,152030343619981
0x0e8a71d40da724ac1ff522d9686dbf1da21bab2d803441df73c86c4bae76d399,39,128515440749436
0xbe4e66094c14a8c69361173fbd6694279db5fd8401bcb1d9c5df066755820a30,38,120872882759076
0x6b5b8d5904ee259636314d6d914f1a59bb6430126dd91a6118202dc734b1df8a,40,109301746645196
0xc48683f9f684d2845c18e8d33d5f6c8581acfc1eb1c78b1de25562d136877e10,32,108318946093455
0x46cbb9afc2255c8afcf2a0c134fe9066a9edaf0ada139fc234030c09b984100d,29,108318744684803
0x29cf6ca262ee369b944bc3daa18879e1911f7d5aea120b3c9a54174f610f4630,37,108318536492532
0xd4e43fa15a4cf475b35f7278f02ae5a694e14fbd7ef2494e39e7978781b3eefe,41,108318006520513
0xda557f6d45952778e0c4c7296dc8f8303d846d5453800efd7b03cfbd5f8def04,27,108315036258138
0xbfa99851a3abd9f64e919c5c33c32b591564eb0ebb3e838fcc456d7ae0cc6ec2,34,108314987412009
0x60b00bc1f6cda15c9cee94bab2e44dc7727701503da80d88c23c8436c4d597a4,41,108314337351266
0x568fdb6acf26aae2a84419108ff13baa3ebf133844ef18e23a9f47b5af16b698,31,108312857426177
0x35b922386bd35db0f33c732a70d7b6a2e91e463812c8d710f925f6da0e0ace07,37,108311631091122
0x4e28ca55c3ccde886560d667d60cd2d1193e742ff5aede3ba93b3860a97e207f,28,107188263934047
0x6a1d3313a58719cf5abc1aaee6b4b74bc7e2c69036a8a02f02eb4f3ab4a3d678,34,107157915398604
0xf2b6feeea4546648c257c7e33ff4f0aa8db3bb2949cca065c9db015478363458,35,107149353656675
0x18a3ef480b7883d05b917873a8b6d5f5a5f763372b650242ede89836a67cdce8,38,107000477517881
0x8d5c9e82d612c390b5dea347918b6421146bb638724854300eed065cc4211a6e,25,107000180744502
0xc067ce10f1faa4812fe608e2d4b3e1fe0bb629e91cfff532cccc23803a624414,28,106910192864472
0xbcb83e07eed46120a0143bd9861ea82495293228b9cd64cc43bda722edaeb7ad,38,106900533227347
0x4b2c524fc36698caf9d049b6088faa002cea3bbcbf5ed764f59768b4fe96efcf,40,106825610638727
0x85bec1dcb618004064ab52a594321e8f047bac53be8244c5d10ac136128e30f7,34,106820523983699
0xe1abb4ea11673aad3137052dce831eb20a1907815cb4a03ccac38ba7a9e988d3,35,106820176329963
0xd2dc57e95669c9bf102cb5693fe8b2a8b10d330213d7ddd9fb417f86f183dc1d,30,106819445781017
0x4cfeaf68aacfd0cd459c292837854ce058b9ba6c1cc35e8684b1a5030b1dc922,30,106819280105774
0x447fc1fc130cf9245d9ca291785d0f8a00c3ebdc26b2e4c6165801b0af01c917,37,106817692428847
0xd60280852b50c341b22bba06562a817293d7b834eac251e7600b25d8bdd9efa3,29,106817615310053
0xea733e480c379c61dae9cfb3f14a388f6a683d7a797c135f86b924fb7a2e8cdb,29,106816758788040
0x9dfeca70acb3e01328d9dbbda4a6c23913fcd81ef25f74fab52cb2e96b0a1486,33,106815424373619
0xcf2a5df3737cd33344dc332416c35278431aed26ff684491b1bf7f9d19e3ee93,31,106814867610660
0xe9f7d36334768683b85ec1df892dfd8fc389c8f6dbe0b890195d579a6e390c78,31,106814656216163
0x302b69423fde5c7dd333ee50d48df16f076072e61f95e0f6db5685ee6c70d35b,36,106814106018009
0x71debfa733376c4f2dc8970de8962931fe107c7dc1daad3bf189101bfd4adc4b,25,106814050300364
0x925ec5ab56572964dc3cc69bb86c224367dbfc186f6831c26639f9428326c2b4,25,106813261061921
0xb840f1cfae5aaa4b50a11a6a23e2e859717e2f355fcd614592b219fc4d4e44a3,31,106813217093432
0x8e943e68e8e4a1ebb7e5a250b081af507d40e616283f38d2d2a2a4b6523c02ac,35,106812737872664
0x483cf8942c76d86ed28a9849940abdea14952a551be84c38c844208e13d976d4,36,106809525617731
0x904bc056aa17a45c2715113e06cb42f5762581a7b839206f5348938db69425be,31,106804893666439
0xf08bb83cf89d299e4cddee7ef987b850a35a399900ba22860cc1553da3682a84,36,106803883266914
0x52b48fb6e6883d4cdf244cde8d7e972ea2d8ece9b5e484ed5085aacef0e306a1,36,106793157159170
0xc1f31446852220ffdf2fe294fd42fa5d7ced48c7d0f1378d6813ae8d972f1adf,28,106791860273389
0x32f23e884c0c6f663997c7d4602ef0916bae15492833ee8e7266135e40ff8b14,31,106784574519961
0xdca6aaf410e984463b37e192652b3c09b0ae3968b3e0171bb076ae0e21112ef9,38,106739922217295
0x0d7b10a9ddee853b3585dd1efd4902ab3ad4f482b94425a3780cc39e79e6d398,36,100636127138197
0x9df537cbe360f51499f53ca27b83f1c3a92fb7b068bc79eb8e33c85a50f84380,26,100250700752833
