blockchain,m,G,nL,nLP,nS,nSP,srsw_G,srsw_nL,srsw_nLP,srsw_nS,srsw_nSP,G_inc,nL_inc,nS_inc
aptos,144,0.56,18,12.5,38,26.39,0.41,24,16.67,51,35.42,26.785714285714295,33.33333333333333,34.21052631578947
axelar,75,0.41,10,13.33,28,37.33,0.25,16,21.33,37,49.33,39.02439024390244,60.0,32.142857142857146
binance,57,0.55,8,14.04,16,28.07,0.41,10,17.54,20,35.09,25.454545454545464,25.0,25.0
celestia,174,0.83,5,2.87,15,8.62,0.64,12,6.9,36,20.69,22.891566265060238,140.0,140.0
celo,84,0.4,10,11.9,33,39.29,0.26,18,21.43,42,50.0,35.0,80.0,27.27272727272727
cosmos,180,0.69,7,3.89,24,13.33,0.37,21,11.67,71,39.44,46.37681159420289,200.0,195.83333333333331
injective,60,0.49,5,8.33,18,30.0,0.25,11,18.33,30,50.0,48.97959183673469,120.0,66.66666666666666
osmosis,150,0.54,10,6.67,42,28.0,0.29,27,18.0,68,45.33,46.296296296296305,170.0,61.904761904761905
polygon,105,0.78,4,3.81,11,10.48,0.53,9,8.57,29,27.62,32.05128205128205,125.0,163.63636363636365
sui,106,0.41,14,13.21,35,33.02,0.21,22,20.75,54,50.94,48.78048780487805,57.14285714285714,54.285714285714285
