address,tokens
Polychain,47666687704550
Go,44531932377455
Keplr,37448385973968
bitcoinsuisse.com,35571101965973
P-OPS Team,32548074897846
Chorus One,30960137148261
Qubelabs,28814261396136
Finoa Consensus Services,27563133780415
Coinbase,20632371807393
BinanceNode,18061966292566
P2P.ORG,16588090506216
Figment,14521493783115
Cosmostation,12317188369061
via lacTIA,11066679399299
Anonymous,10989595458044
Informal Systems,10148975083517
CUCK.,9971946563990
Staking Facilities,8983916381110
01node,8659914498671
Nodes.Guru,8443191088166
Upnode | 0% Fee,8367181421226
GalaxyDigital,8220627316249
Imperator.co,8099243543093
Goose,8000552750084
IYKYK,7552285786444
ZKV,7533803526310
Hex Technologies,7328703333507
polkachu.com,7011898671178
Twinstake,6976478681971
Little Dipper,6945096066843
MZONDER,6046175264687
Validatus,6045012368295
T DATA,6018172904076
Binary Builders,5879054566452
Cumulo,5810340828853
XPRV,5471891593893
project blanc,5118823624872
senggigi,5000271193979
BlackBlocks,4940239550919
Nocturnal Labs,4686201124427
alphab.ai,4649716429529
 Lavender.Five Nodes 🐝,4516911276950
 kjnodes.com 🦄,4159656766903
Everstake,4129868305924
AI,3874895524148
Easy 2 Stake,3842408410899
Node Guardians,3822695867681
Brightlystake,3749049870120
✅ CryptoCrew Validators,3705916571486
Stakecito,3705791043641
DSRV,3644073104077
B-Harvest,3604636037521
Stakin,3567975955011
Stakely.io,3556233349956
BwareLabs,3541373208435
FreshSTAKING,3375604345299
Astria,3230965456971
Maple Nodes,3169532014329
ChainodeTech,3164673477776
Stake🦑Squid,3135691198103
0xFury,3080703043552
wavefive,3071580854000
Smart Stake 📈📊,3043423196350
ValiDAO,3026237570962
4sv,3014529865009
MyStake,3012944839903
StakeTown,3010242556894
[NODERS],3008831848012
node101,3006391559203
F5 Nodes,3004864169916
itrocket,3004435495913
TrustedPoint,3002915344523
LuckyResearch.org,3001888125847
Neoprom,3001512695188
quantumcore,3000963807251
CroutonDigital,3000919192028
CosmoWiz,3000573366538
Dora Factory PGS,3000541476009
STAKEME,3000131413599
BlackNodes,3000120122181
DTEAM,3000082490000
Kiln,2574445341573
Nansen,2573061042772
PRYZM | StakeDrop,2437976148860
Swiss Staking,2385237277460
Blockdaemon,2269134875654
NakoTurk,2138896370773
Allnodes,1926589001968
strangelove,1734474109609
Unit 410,1590719702797
LatamNodes,1586043677751
Decentrio,1327646508276
Larry Engineer,1279484725943
Staked,1267181670767
Gunter,1251637851872
Enigma,1246632700793
Colossus,1198279490850
NodeStake,1043585188836
iqlusion,1006060647812
Forbole,981838991661
"Frens (🤝,🤝)",768047939356
KalpaTech,707361076844
StakeLab.zone,616136526998
StakingCabin,313156993862
ContributionDAO,310285985424
Moonlet,122338204241
interchain.FM🥩,106742991669
Polychain,92674093024
Lemniscap,66608899449
Encapsulate (fka KingSuper),52962464585
Meria,38881897892
PartnerStaking | Timeworx.io Airdrop,32188801411
Staking4All,22940417578
kooltek68,22262512069
BitNordic,20049064993
Conqueror,18933573556
W3.Hitchhiker,14746132640
spidey,14320476716
Staker Space,13238694498
KEK,9645661305
counterpoint,9176401411
Active Nodes,5938107668
 Blockscope.net,4243642785
Validatrium.com,4185182271
UNBONDING - PLEASE REDELEGATE,3640369027
Crosnest,2573081644
MH Ventures,2451907909
Neuler,2409600469
Suntzu,2095747383
Witval,1246037666
openbitlab,1055047158
Anonstake,993368374
Notional,767858874
Earthbender,747267776
Please redelegate,637197888
 AutoStake 🛡️ Slash Protected,593734942
nysa.network,503253065
AM Solutions 🪐,411888581
SG-1,371827687
POSTHUMAN∞DVS,313502718
LowFeeValidation,280847419
INACTIVE-DO NOT DELEGATE,250000000
[Please redelegate],110349735
bitszn,96359187
HFA X Defi Dojo Validation,79849336
INACTIVE,62975518
vortexray,51312680
Stakeflow,27882340
NodeX Emperor ⚡ Celestia,25386869
Stake.Works | Celestia,25000000
ECO Stake 🌱,17538549
ITALY - Lowest Commission,17000000
GPvalidator,15312007
Kraymerica,15000000
Cosmos Spaces,14610870
jabbey,12200956
0base.vc,11646915
Tessellated,11610929
StakePool,11010786
TiaRocketKC,11000000
BlockHunters 🎯,10027590
StakeCapital,10024981
