address,tokens
Manta Labs,8.897118049154783e+24
Anchorage Digital,8.414230764129393e+24
Figment Networks,6.032245883186261e+24
wotrust,5.838432567825786e+24
impactMarket,5.760734577394825e+24
GrassrootsEconomics,4.6484039396302604e+24
Bison Trails,4.6428630092405014e+24
Binance-Staking-Group,4.4823179262825617e+24
Deutsche Telekom,4.4442734577655305e+24
Blockdaemon,4.2857325390406994e+24
DSRV,4.195780099187256e+24
Validator.Capital,3.831745324144239e+24
deDataLabs,3.787517490731213e+24
Censusworks,3.6074491673001803e+24
a16z,3.607251975590824e+24
Stake DAO,3.5297821294381316e+24
Staking Fund,3.501841348746646e+24
ChainLayer,3.4992712087344575e+24
cLabs,3.4848242783878666e+24
ZanshinDojo.org,3.4191640474328474e+24
Cypher Core,3.3515006634157633e+24
Usopp | usopp.club,3.3350668404698403e+24
AG,3.2964319472365033e+24
Easy2Stake Group,3.288453234265843e+24
Perfect Stake,3.1700066018212563e+24
missionquorum-group,2.990842472065045e+24
Chorus One,2.965313393324262e+24
TDlabs,2.8438976548429783e+24
atalma.io,2.61222416181398e+24
Stakely.io,2.495489887728283e+24
StakeService.com,2.450137257138835e+24
🏢 Ministry Of Blocks 🏢,2.432864225142417e+24
moonli.me,2.428742038191258e+24
atweb3,2.42067894068011e+24
syncnode_group,2.3826480580417672e+24
ZKValidator,2.3753009265695798e+24
Stakecito,2.373880450177236e+24
Kytzu Group,2.346824456501396e+24
huglester,2.3380867501382435e+24
Ryabina,2.3269646154775282e+24
swiftstaking,2.3244841373307287e+24
Tessellated Geometry Alliance,2.3178779900537154e+24
The Celo Group,2.309982368917334e+24
celvaly,2.3093553431143076e+24
TPT,2.2944447690940087e+24
nonce,2.277636528902737e+24
Simply Staking,2.2517044546395871e+24
Bi23 Labs,2.2396471976580187e+24
HashKey Cloud,2.2040724525677902e+24
SeedBed,2.0989754579129867e+24
HappyCelo,1.958289420454801e+24
keyko.io,1.9190728521676963e+24
chainvibes,1.737810444291213e+24
Google Cloud Web3 Group,1.6799546346124947e+24
MoonletWallet,1.6515996823183993e+24
Telefonica,1.6392546276785843e+24
Ledger by Figment,1.6285168998455806e+24
Making.cash,1.562487004854771e+24
PlusV,1.3921889581895103e+24
Goods & Services,1.3902492169087807e+24
Bitcandy 🍬,1.3559770257016266e+24
Eat Pray Validate 🍴🙏🖥,1.3156499794080544e+24
TeroLabs,1.2941106020459977e+24
Projecttent,1.2457447673833474e+24
GoodLabs,1.0536877998489771e+24
Masternode24.de,8.287715762790539e+23
Virtual Hive,7.902005411161986e+23
Nodito Labs,4.416685316063593e+23
Polychain,2.7012790858542472e+23
,1.178364358945715e+23
Tango,1.0950739992726553e+23
CoinList,1.0888500001473444e+23
Celo.Works,5.989144313176105e+22
bitManna,4.040000016822595e+22
ReFiCol4🌎,2.8721e+22
Polychain,2.833429453751178e+22
01node,2.44541e+22
gunray,2.3359021030486745e+22
AnyblockAnalyticsGroup,2.20436307266706e+22
AUDIT.one,2.1509022377112607e+22
Chainflow,2.11576544821507e+22
Gingerbread,2.000002e+22
Celo Japan by Fore-,2.00000131843766e+22
stake.fish 🐠,1e+22
,1010374548676417.0
dynamic,0.0
