address,tokens
cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,26536556184420
cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,12841496213814
cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,12053159378018
cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,10447026298456
cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,9137082284880
cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,8912245084127
cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,8809081389075
cosmosvaloper1n229vhepft6wnkt5tjpwmxdmcnfz55jv3vp77d,8460118041033
cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,6342133602933
cosmosvaloper1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgpgs6l7,5866576425616
cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,5482147878970
cosmosvaloper1wvt5zugk97mrl5rm9c3m573f9gj03w2gyh8m5v,5410956164855
cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,5093199730757
cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,4967824262729
cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,4964610066192
cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,4502206797006
cosmosvaloper1hmd535f69t3x262m6s9wc6jd0dmel2zevhyuhm,4416207304679
cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,4401926024376
cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,4158951373027
cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,3594261783317
cosmosvaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqvwdul2,3279340744939
cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,3257410806320
cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,3010736445616
cosmosvaloper157v7tczs40axfgejp2m43kwuzqe0wsy0rv8puv,2533184976718
cosmosvaloper1k2d9ed9vgfuk2m58a2d80q9u6qljkh4vfaqjfq,2513873884755
cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,2441253678717
cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,2425648719253
cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,2324250963828
cosmosvaloper18sqvyf4ss84qree7gndph5chmm82fglsqfylwn,2037217590973
cosmosvaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56fz4sdg3,1970803047966
cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,1860691042484
cosmosvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xfytvz7,1793688521501
cosmosvaloper1cc99d3xcukhedg4wcw53j7a9q68uza707vpfe7,1750311107861
cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,1680195644618
cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,1612219528213
cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,1474956342068
cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,1459816558263
cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,1410056088921
cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,1305448151866
cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,1190794240499
cosmosvaloper19f0w9svr905fhefusyx4z8sf83j6et0g9l5yhl,1144470390421
cosmosvaloper1k6e7l0lz497l8njqjxpd3g4wlkdfwe93uqf03k,1118341820802
cosmosvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje98l3k9h6,1009952514223
cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,982889209978
cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,973821360888
cosmosvaloper1uhnsxv6m83jj3328mhrql7yax3nge5svrv6t6c,965360954207
cosmosvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zfd832j,954369131937
cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,925025518734
cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,921640087511
cosmosvaloper1yh089p0cre4nhpdqw35uzde5amg3qzexkeggdn,865432743783
cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,846514541651
cosmosvaloper1ma02nlc7lchu7caufyrrqt4r6v2mpsj90y9wzd,846159208061
cosmosvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q46fe2xk,842308864928
cosmosvaloper1yw5s259jkcg0jzmh7sce29uk0lqqw2ump7578p,837795401178
cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,813420688882
cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,804057057482
