address,tokens
Twinstake,356923018
Luganodes,305148671
Binance Node,293773847
Coinbase,219847606
Matic Power,208070875
Web3Nodes Validator 🌎 0% fee,171635619
Upbit Staking,150080407
Anonymous 94,132631785
Anonymous 93,128196654
Figment,122730715
Kiln x Ownest 🔸 Pro Staking 🔸,115490786
Allnodes ⚡️ 0% fee,114711150
Stakin,110709652
Everstake 0% fee,84009923
Vault Staking,83447916
Anonymous 91,78666132
Girnaar Nodes,69329160
Staked,64292344
P2P.org 0% Fee,55830969
Matic Friends,50489548
Staking4all - 0% fee,48821126
StakePool,40679365
Blockdaemon,30827021
Matrix Stake,20554382
Infosys,18356535
Republic Crypto / Source,18316072
Worldpay,15760622
Abyss Finance 🔥 0% fee,14415413
Smart Stake 📈📊,13115271
SelfLiquidity,12871216
Prometheus Pool,12543846
HashKey Cloud,12036825
bountyblok,10656422
Meria,9761962
Supermoon,9622845
Bware Labs,9606725
🐠 stake.fish,9154614
The Abyss (0% commission),8995479
Blue Ocean,8637094
TruFin,8266117
Fahrenheit ❄️ 0%,7263817
kytzu,7175805
Shard Labs,5964432
DSRV,5804462
Sakura Foundation,5798404
Deutsche Telekom,5673167
Making.cash,5321884
Chorus One,5263744
algo | stake,5186794
Valis Labs,4896851
Nobi,4067275
Vader 73,3544775
EMC2 Node,3081148
CheckBit 0% fee,2867188
VC Capital,2812041
ANON LowFee,2803066
Stake.Works,2748419
Proton Gaming,2334997
Rasputin,2287128
Data Nexus,2280198
PolygonGo,2150412
Web3Auth Validator,1905689
Masternode24.de,1830420
Cryptonomicon,1793243
Wetez,1774034
Perfect Stake 🥩,1750527
🍒 RYABINA 🍒,1712243
StakeCraft 🔥 0% Fee,1676750
Simply Staking,1667357
StakeBaby,1579654
NEOPIN,1576554
Blockops,1571203
Streamr,1565394
Finoa Consensus Services,1561911
SenseiNode,1522048
BCW Technologies,1495393
Vitwit,1392384
AnkrValidator,1334338
Pier Two + Coinstash,1274579
DeFiMatic,1262258
Atlas Staking,1238191
Fierydev-MCLB,1181208
Tessellated,1179283
Deepheat,1104055
Newroad Network,1093791
Blocks United,1093525
PathrockNetwork,1076627
Validatrium,1043216
Hexagon City,999219
Anonymous 92,802477
Mantra Chain,663963
Pentagon Games,661881
stake.new,660243
BLRD,634789
Northstake,537919
SolidStake,476218
Mind Heart Soul,388778
FreshSTAKING,387444
InfStones,385387
Chainflow,321671
Orion,274780
Stake Capital,201112
Anonymous 112,115255
Google Cloud,13921
Anonymous 173,10004
