address,tokens,ip_address
Mysten-1,241723549529777059,45.63.91.154
Mysten-2,238306956253473043,136.244.64.220
Figment,227169681160606718,51.222.248.87
Triton One,207036280109001707,202.8.8.8
Blockdaemon,195350959828158882,208.91.107.169
P2P.ORG,145056018856295668,212.117.185.244
Chorus One,141812036962868974,46.165.244.19
Aftermath,139564531908319114,57.128.47.71
Overclock,138362105456468304,84.17.53.103
DSRV,137637843804956766,141.95.171.152
mrgn,128023303374568885,141.98.216.164
Blockscope.net,125553532175792952,15.235.82.231
Everstake,125402239412848894,45.250.254.103
Luganodes,121720402324504473,93.115.25.174
BartestneT,120111189688079595,45.250.253.76
Chainode Tech,119078820404988627,103.50.32.114
Ahoy Validator,118944049850442673,103.50.32.109
RepublicCrypto,114913029754426108,91.210.226.206
ContributionDAO,114254294607066942,141.95.99.142
n1stake,113764305247108899,173.231.17.194
Durian,113413018707139537,54.251.13.94
Persimmon,113403011085230762,35.77.3.56
Cosmostation,113138801152015928,172.255.251.44
Staketab,107881561058029887,103.50.32.107
BlockVision,106235098397807277,35.240.145.14
Anchorage Digital-2,105979490558781032,80.93.18.164
Coinbase,101458232456660502,3.249.49.27
OKXEarn,89106012945106573,43.207.255.138
Artifact,89065148627292521,206.125.33.6
TPT,89003323728213878,84.32.32.80
Dankuzone_w_DAIC,88839440397476588,37.252.184.226
P-OPS Team,88589715662517901,185.8.104.19
TrustedPoint,87224816283716124,45.250.253.74
Nodeinfra,87183141140047703,64.130.52.116
Kiln,86192787606461837,162.19.43.6
Stakin,85699634074662294,93.115.25.75
Laine,85147660491722735,103.50.32.184
Staking Defense League,83940536644316456,188.214.129.144
Galaxy Digital,83599827638274891,52.215.11.218
ChainIDE,82893606949509188,47.236.75.72
Encapsulate (fka KingSuper),82800282412719046,65.20.89.89
HashedPotatoes,82190914985908438,69.67.149.35
Bware Labs,81894111100248820,141.95.34.55
KiligLab,81584131744953104,8.213.144.236
01node,81417174759999852,195.14.6.175
MIDL.dev,78643038030486913,62.210.140.115
Stardust Staking,77081514829094257,46.229.233.174
LumiWave,72493520885248824,52.231.106.71
Chainflow,70891463992283727,185.8.104.18
ORBR,69566589005539879,78.141.245.48
Restake,63954306728071918,103.219.171.17
StakingCabin,63897595397603704,141.95.65.179
Scale3Labs,62934244234331761,45.250.254.151
Staking Facilities,61099813111866434,5.199.170.77
Citadel.one,60358173822065717,141.94.137.186
Ankr,55342210160595293,107.6.94.244
Studio Mirai,49049111937374968,79.127.216.34
Shinlabs,45856623475302294,162.62.234.61
Allnodes,44203428983275318,169.155.45.15
Nelrann,41496292563531099,185.209.178.171
Cypher Capital,40022521573858533,69.2.39.168
BiXinKelePool,39937073896284385,47.251.23.207
Cogent Crypto,38570101435906180,45.250.254.99
Nodes.Guru,37357157455968338,141.95.99.90
Staked,37181189956493594,54.195.211.175
proofgroup,36997709589160958,207.53.234.207
Swiss Staking,36961669456768269,82.220.39.51
Imperator.co,36857353198489523,57.128.97.53
Nansen,36793685901031019,79.137.101.209
SynergyNodes,36790496445055367,103.241.50.19
B-Harvest,36772411861879093,198.13.34.226
SyncNode,36752950193787290,103.50.32.122
Brightlystake,36643557903213647,139.84.155.177
[NODERS]TEAM x Criterion VC,36540643968283459,149.28.137.164
Astro-Stakers,36268700447585080,45.32.177.0
Gaucho,34807092664767543,45.250.253.97
Cetus,33435322922212284,52.207.86.24
Suilend,33270477161290727,83.143.83.226
InfStones,32993298502677393,150.136.151.212
Chainbase,32926030303505070,8.222.240.218
Suiet,32690404276281555,15.235.214.130
Anchorage Digital-1,31688441400456026,198.244.253.76
Peeranha,31594568263109974,91.242.215.239
Surf,31486318992500102,52.201.237.107
Neuler,31477300194487219,103.219.171.15
Sentio,31423526521608925,64.38.144.155
ZKV,30929940642164668,65.21.128.113
Kriya Validator,30102455018484155,139.84.148.36
Omnistake,29679331430780182,18.188.215.65
XPRV,29387820498208692,54.38.136.66
gumi,28933566976898614,13.230.215.202
Stakely,28632516190078547,15.235.53.140
A41,28512438133426445,195.201.186.66
Juicy Stake,28499236776405593,69.2.39.167
HashKey Cloud,28496422531189677,13.228.138.28
Moonlet,28440432768242867,103.219.171.14
Node Guardians,28414554454512644,91.134.22.7
Forbole,28409875818240937,5.10.24.66
H2O Nodes,28385435626819658,185.125.95.23
BLRD,28383826873941635,35.213.126.139
QuantNode,28375631534860261,103.50.32.129
TDMTech,28161079653380673,109.123.108.59
Latitude.sh,27301088415269499,103.219.168.185
BlockEden.xyz,26483460563161658,34.168.101.125
stakefish,25946704616628614,147.75.199.7
NodeReal,25108551997997185,3.209.142.4
Parasol,23942956238321595,43.131.31.189
SenseiNode,21252313045439459,69.67.148.48
