blockchain,scale,N,nc_safety,nc_liveness,gini,hhi,shapley_liveness,shapley_safety,shapley_correlation,zipfs
aptos,tokens,191,27.23,11.52,0.55,0.011,0.565,0.559,0.9926040756934746,3.135
axelar,tokens,75,41.33,16.0,0.37,0.02,0.38,0.375,0.993134739071565,0.928
binance,tokens,57,28.07,14.04,0.55,0.036,0.56,0.555,0.9978314198066999,2.316
celestia,tokens,239,11.3,2.93,0.8,0.026,0.801,0.798,0.9978099624859295,5.679
celo,tokens,86,38.37,13.95,0.42,0.019,0.425,0.425,0.9929520062068377,1.517
cosmos,tokens,200,12.0,3.5,0.72,0.029,0.731,0.732,0.997246237091257,1.573
injective,tokens,60,38.33,11.67,0.4,0.033,0.41,0.406,0.993611241660134,0.72
osmosis,tokens,150,28.0,6.67,0.54,0.02,0.557,0.563,0.9970754590422967,1.022
polygon,tokens,105,11.43,3.81,0.79,0.051,0.797,0.797,0.9989462175605985,2.057
sui,tokens,108,39.81,15.74,0.35,0.014,0.356,0.361,0.9912492123822416,0.63
