blockchain,ncL_srsw_tokens,ncL_lsw_tokens,ncS_srsw_tokens,ncS_lsw_tokens,gini_srsw_tokens,gini_lsw_tokens,hhi_srsw_tokens,hhi_lsw_tokens,sL_srsw_tokens,sL_lsw_tokens,sS_srsw_tokens,sS_lsw_tokens,z_srsw_tokens,z_lsw_tokens
aptos,45.4,145.4,34.59,109.59,25.45,76.36,27.27,45.45,26.56,72.19,25.76,70.84,49.98,95.92
axelar,41.69,100,22.6,54.85,40.54,89.19,25,35,38.93,84.53,40.75,87.94,50,93.32
binance,24.93,99.93,25.01,100,25.45,74.55,25,47.22,24.64,73.92,25.45,73.84,50,88.51
celestia,157,742.66,92.57,359.12,16.25,78.75,53.85,80.77,15.56,76.54,16.44,77.33,49.99,95.33
celo,50.04,133.41,24.24,66.67,30.95,92.86,21.05,36.84,30.05,83.1,31.29,86.59,50.03,98.09
cosmos,200,785.71,204.17,433.33,43.06,94.44,68.97,82.76,42.05,91.37,42.41,90.15,50.03,96.25
injective,85.69,171.38,39.13,69.58,52.5,92.5,42.42,48.48,53.3,89.73,50.48,92.51,50,92.78
osmosis,169.87,379.76,61.89,130.96,46.3,96.3,55,65,47.29,91.7,45.52,87.2,50,96.48
polygon,124.93,649.87,116.62,441.56,32.91,89.87,56.86,80.39,32.13,89,32.5,89,50.02,93.68
sui,47.08,105.91,32.58,65.13,48.57,97.14,28.57,35.71,46.72,89.74,45.53,88.55,50,97.46
,94.663,331.403,65.34,183.079,36.198,88.196,40.399,55.762,35.723,84.182,35.613,84.395,50.005,94.782
,67.865,158.39,36.86,104.795,36.725,91.185,35.495,47.85,35.53,86.765,36.625,87.57,50,95.625
